ABW,SI.POV.NAHC,Aruba,,,,,,,,,,,,,,,,,
AFE,SI.POV.NAHC,Africa Eastern and Southern,,,,,,,,,,,,,,,,,
NOR,SI.POV.NAHC,Norway,10.8,10.8,11.4,12,11.9,11.4,11.7,11.2,10.5,10,10.9,10.9,11.9,12.2,12.3,12.9,12.7
NPL,SI.POV.NAHC,Nepal,,,,,,,,,25.2,,,,,,,,
NRU,SI.POV.NAHC,Nauru,,,,,,,,,,,,,,,,,
NZL,SI.POV.NAHC,New Zealand,,,,,,,,,,,,,,,,,
OED,SI.POV.NAHC,OECD members,,,,,,,,,,,,,,,,,
OMN,SI.POV.NAHC,Oman,,,,,,,,,,,,,,,,,
OSS,SI.POV.NAHC,Other small states,,,,,,,,,,,,,,,,,
PAK,SI.POV.NAHC,Pakistan,,,51.7,50.4,,44.1,,,36.8,36.3,,29.5,,24.3,,,
PAN,SI.POV.NAHC,Panama,,,,36.6,38.3,36.5,33.8,33.4,29.8,27.6,26.5,25.8,25.6,23,22.1,,
PER,SI.POV.NAHC,Peru,,,58.7,55.6,49.2,42.4,37.3,33.5,30.8,27.8,25.8,23.9,22.7,21.8,20.7,21.7,20.5
PHL,SI.POV.NAHC,Philippines,,24.9,,,26.6,,,26.3,,,25.2,,,23.5,,,16.7
PLW,SI.POV.NAHC,Palau,,,,,24.9,,,,,,,,,,,,
PNG,SI.POV.NAHC,Papua New Guinea,,,,,,,,39.9,,,,,,,,,
POL,SI.POV.NAHC,Poland,,,20.5,19.1,17.3,16.9,17.1,17.6,17.7,17.1,17.3,17,17.6,17.3,15,14.8,15.4
PRE,SI.POV.NAHC,Pre-demographic dividend,,,,,,,,,,,,,,,,,
PRI,SI.POV.NAHC,Puerto Rico,,,,,,,,,,,,,,,,,
PRK,SI.POV.NAHC,"Korea, Dem. People''s Rep.",,,,,,,,,,,,,,,,,
PRT,SI.POV.NAHC,Portugal,,20.4,19.4,18.5,18.1,18.5,17.9,17.9,18,17.9,18.7,19.5,19.5,19,18.3,17.3,17.2
PRY,SI.POV.NAHC,Paraguay,57.7,51.4,48.8,44.9,48.9,45.3,43.2,41.6,39,37,31.4,28,27.2,26.6,28.9,26.4,24.2
PSE,SI.POV.NAHC,West Bank and Gaza,,,,,,,,,25.7,25.8,,,,,29.2,,
PSS,SI.POV.NAHC,Pacific island small states,,,,,,,,,,,,,,,,,
PST,SI.POV.NAHC,Post-demographic dividend,,,,,,,,,,,,,,,,,
PYF,SI.POV.NAHC,French Polynesia,,,,,,,,,,,,,,,,,
QAT,SI.POV.NAHC,Qatar,,,,,,,,,,,,,,,,,
ROU,SI.POV.NAHC,Romania,,,,,24.6,23.6,22.1,21.6,22.3,22.9,23,25.1,25.4,25.3,23.6,23.5,23.8
RUS,SI.POV.NAHC,Russian Federation,24.6,20.3,17.6,17.8,15.2,13.3,13.4,13,12.5,12.7,10.7,10.8,11.2,13.3,13.3,13.2,12.6
RWA,SI.POV.NAHC,Rwanda,,,,,,,,,,,,39.1,,,38.2,,
SAS,SI.POV.NAHC,South Asia,,,,,,,,,,,,,,,,,
SAU,SI.POV.NAHC,Saudi Arabia,,,,,,,,,,,,,,,,,
SDN,SI.POV.NAHC,Sudan,,,,,,,,46.5,,,,,,,,,
SEN,SI.POV.NAHC,Senegal,,,,48.3,,,,,,46.7,,,,,,,
SGP,SI.POV.NAHC,Singapore,,,,,,,,,,,,,,,,,
SLB,SI.POV.NAHC,Solomon Islands,,,,22.7,,,,,,,12.7,,,,,,
SLE,SI.POV.NAHC,Sierra Leone,,,,,,,,,,,,,,,,,56.8
SLV,SI.POV.NAHC,El Salvador,,,,,,,40,37.8,36.5,40.6,34.5,29.6,31.8,34.9,32.7,29.2,26.3
SMR,SI.POV.NAHC,San Marino,,,,,,,,,,,,,,,,,
SOM,SI.POV.NAHC,Somalia,,,,,,,,,,,,,,,,,
SRB,SI.POV.NAHC,Serbia,,,,,,,,,,,24.5,25,26.7,25.9,25.7,24.3,23.2
SSA,SI.POV.NAHC,Sub-Saharan Africa (excluding high income),,,,,,,,,,,,,,,,,
SSD,SI.POV.NAHC,South Sudan,,,,,,,,50.6,,,50.1,,55.1,65.6,76.4,,
