AFG,LUR,Afghanistan,,,,,,,,,,,,,,,,,
HUN,LUR,Hungary,5.843,5.901,6.122,6.8,7.075,7,7.468,9.681,10.801,10.655,10.668,9.849,7.511,6.626,4.971,4.041,3.596
ISL,LUR,Iceland,3.076,3.525,3.417,2.883,3.2,2.492,3.325,8.008,8.317,7.7,6.617,5.833,5.417,4.5,3.342,3.283,3.1
IND,LUR,India,,,,,,,,,,,,,,,,,
IDN,LUR,Indonesia,9.06,9.67,9.46,11.24,10.28,9.11,8.39,7.87,7.14,6.56,6.14,6.25,5.94,6.18,5.61,5.5,5.34
IRN,LUR,Islamic Republic of Iran,12.2,11.3,10.3,11.5,11.3,10.5,10.4,11.9,13.5,12.3,12.1,10.4,10.6,11,12.425,12.075,12.025
IRQ,LUR,Iraq,,,,,,,,,,,,,,,,,
IRL,LUR,Ireland,4.733,4.842,4.742,4.633,4.767,5,6.808,12.65,14.583,15.4,15.5,13.783,11.9,9.95,8.383,6.742,5.783
ISR,LUR,Israel,12.875,13.4,12.9,11.2,10.45,9.15,7.65,9.425,8.25,7.05,6.875,6.25,5.9,5.275,4.8,4.225,4
ITA,LUR,Italy,8.608,8.45,7.975,7.708,6.792,6.117,6.742,7.742,8.342,8.417,10.667,12.125,12.617,11.908,11.658,11.258,10.625
JAM,LUR,Jamaica,14.2,11.8,12.2,11.225,10.325,9.85,10.575,11.35,12.375,12.4,13.925,15.275,13.75,13.5,13.2,11.65,9.125
JPN,LUR,Japan,5.358,5.242,4.733,4.425,4.117,3.833,3.983,5.075,5.058,4.583,4.325,4.008,3.583,3.375,3.108,2.825,2.442
JOR,LUR,Jordan,15.325,14.439,14.7,14.844,14.058,12.7,12.65,12.85,12.475,12.875,12.15,12.6,11.875,13.075,15.275,18.3,18.6
KAZ,LUR,Kazakhstan,9.334,8.777,8.402,8.108,7.789,7.258,6.629,6.556,5.766,5.391,5.286,5.206,5.042,5.11,4.951,4.9,4.854
KEN,LUR,Kenya,,,,,,,,,,,,,,,,,
KIR,LUR,Kiribati,,,,,,,,,,,,,,,,,
KOR,LUR,Korea,3.258,3.55,3.658,3.75,3.475,3.258,3.175,3.633,3.708,3.408,3.225,3.1,3.492,3.592,3.675,3.683,3.833
UVK,LUR,Kosovo,,,,,,,,,,,30.9,30,35.3,32.9,27.5,30.5,29.6
